product_name,category,sub-category,product_id,quantity
"Acco 3-Hole Punch, Clear",Office Supplies,Binders,OFF-BI-10001138,36
"Acco 3-Hole Punch, Durable",Office Supplies,Binders,OFF-BI-10001622,48
"Acco 3-Hole Punch, Economy",Office Supplies,Binders,OFF-BI-10000972,63
"Acco 3-Hole Punch, Recycled",Office Supplies,Binders,OFF-BI-10000482,30
"Acco Binder Covers, Clear",Office Supplies,Binders,OFF-BI-10002570,50
"Acco Binder Covers, Durable",Office Supplies,Binders,OFF-BI-10002128,34
"Acco Binder Covers, Economy",Office Supplies,Binders,OFF-BI-10003058,58
"Acco Binder Covers, Recycled",Office Supplies,Binders,OFF-BI-10001253,60
"Acco Binder, Clear",Office Supplies,Binders,OFF-BI-10002354,41
"Acco Binder, Durable",Office Supplies,Binders,OFF-BI-10000329,46
"Acco Binder, Economy",Office Supplies,Binders,OFF-BI-10001639,47
"Acco Binder, Recycled",Office Supplies,Binders,OFF-BI-10001643,24
"Acco Binding Machine, Clear",Office Supplies,Binders,OFF-BI-10000538,45
"Acco Binding Machine, Durable",Office Supplies,Binders,OFF-BI-10004801,47
"Acco Binding Machine, Economy",Office Supplies,Binders,OFF-BI-10004446,40
"Acco Binding Machine, Recycled",Office Supplies,Binders,OFF-BI-10002172,48
"Acco Hole Reinforcements, Clear",Office Supplies,Binders,OFF-BI-10000115,43
"Acco Hole Reinforcements, Durable",Office Supplies,Binders,OFF-BI-10000563,64
"Acco Hole Reinforcements, Economy",Office Supplies,Binders,OFF-BI-10002083,37
"Acco Hole Reinforcements, Recycled",Office Supplies,Binders,OFF-BI-10001249,39
"Acco Index Tab, Clear",Office Supplies,Binders,OFF-BI-10002738,42
"Acco Index Tab, Durable",Office Supplies,Binders,OFF-BI-10002047,39
"Acco Index Tab, Economy",Office Supplies,Binders,OFF-BI-10000440,46
"Accos Clamps, 12 Pack",Office Supplies,Fasteners,OFF-FA-10002964,8
"Accos Clamps, Assorted Sizes",Office Supplies,Fasteners,OFF-FA-10000411,6
"Accos Clamps, Bulk Pack",Office Supplies,Fasteners,OFF-FA-10001574,18
"Accos Clamps, Metal",Office Supplies,Fasteners,OFF-FA-10004257,21
"Accos Paper Clips, Assorted Sizes",Office Supplies,Fasteners,OFF-FA-10001097,39
"Accos Paper Clips, Bulk Pack",Office Supplies,Fasteners,OFF-FA-10004997,25
"Accos Paper Clips, Metal",Office Supplies,Fasteners,OFF-FA-10001800,18
"Accos Push Pins, 12 Pack",Office Supplies,Fasteners,OFF-FA-10004140,9
"Accos Push Pins, Assorted Sizes",Office Supplies,Fasteners,OFF-FA-10002308,11
"Accos Push Pins, Bulk Pack",Office Supplies,Fasteners,OFF-FA-10002393,5
"Accos Push Pins, Metal",Office Supplies,Fasteners,OFF-FA-10003789,14
"Accos Rubber Bands, 12 Pack",Office Supplies,Fasteners,OFF-FA-10001711,8
"Accos Rubber Bands, Assorted Sizes",Office Supplies,Fasteners,OFF-FA-10000571,9
"Accos Rubber Bands, Bulk Pack",Office Supplies,Fasteners,OFF-FA-10004880,12
"Accos Rubber Bands, Metal",Office Supplies,Fasteners,OFF-FA-10002045,3
"Accos Staples, 12 Pack",Office Supplies,Fasteners,OFF-FA-10002895,28
"Accos Staples, Assorted Sizes",Office Supplies,Fasteners,OFF-FA-10004503,8
"Accos Staples, Bulk Pack",Office Supplies,Fasteners,OFF-FA-10000740,2
"Accos Staples, Metal",Office Supplies,Fasteners,OFF-FA-10002803,23
"Accos Thumb Tacks, 12 Pack",Office Supplies,Fasteners,OFF-FA-10002600,13
"Accos Thumb Tacks, Assorted Sizes",Office Supplies,Fasteners,OFF-FA-10002071,18
"Accos Thumb Tacks, Bulk Pack",Office Supplies,Fasteners,OFF-FA-10003531,3
"Accos Thumb Tacks, Metal",Office Supplies,Fasteners,OFF-FA-10001348,6
"Acme Box Cutter, Easy Grip",Office Supplies,Supplies,OFF-SU-10003234,14
"Acme Box Cutter, High Speed",Office Supplies,Supplies,OFF-SU-10001657,16
"Acme Box Cutter, Serrated",Office Supplies,Supplies,OFF-SU-10001886,11
"Acme Box Cutter, Steel",Office Supplies,Supplies,OFF-SU-10001397,1
